Month,Revenue,SMA_3,EMA_3,Growth_Rate
2010-12-01,572713.89,,572713.89,
2011-01-01,569445.04,,571079.4650000001,-0.5707649241753154
2011-02-01,447137.35,529765.4266666666,509108.40750000003,-21.478401146491688
2011-03-01,595500.76,537361.0499999999,552304.58375,33.18072399901284
2011-04-01,469200.361,503946.15699999995,510752.472375,-21.20910794471531
2011-05-01,678594.56,581098.5603333333,594673.5161875,44.62788531400983
2011-06-01,661213.6900000001,603002.8703333334,627943.6030937501,-2.561304057609892
2011-07-01,600091.011,646633.087,614017.3070468751,-9.2440129302223
2011-08-01,645343.9,635549.5336666667,629680.6035234376,7.54100430942799
2011-09-01,952838.382,732757.7643333334,791259.4927617188,47.648158137080074
2011-10-01,1039318.79,879167.0240000001,915289.1413808594,9.076083587069439
2011-11-01,1161817.3800000001,1051324.8506666666,1038553.2606904297,11.786430802429738
2011-12-01,518192.79,906442.9866666667,778373.0253452149,-55.39808588506398
